hidden_dim,batch_size,lr_adam,lr_epochs,lr_multiplicator
128,128,0.0001,30,0.5
128,128,0.0001,50,0.1
128,128,0.0001,50,0.2
128,128,0.0001,50,0.3
128,128,0.0001,50,0.4
128,128,0.0001,50,0.5
128,128,0.0001,70,0.1
128,128,0.0001,70,0.2
128,128,0.0001,70,0.3
128,128,0.0001,70,0.4
128,128,0.0001,70,0.5
128,128,0.0003,30,0.1
128,128,0.0003,30,0.2
128,128,0.0003,30,0.3
128,128,0.0003,30,0.4
128,128,0.0003,30,0.5
128,128,0.0003,50,0.1
128,128,0.0003,50,0.2
128,128,0.0003,50,0.3
128,128,0.0003,50,0.4
128,128,0.0003,50,0.5
128,128,0.0003,70,0.1
128,128,0.0003,70,0.2
128,128,0.0003,70,0.3
128,128,0.0003,70,0.4
128,128,0.0003,70,0.5
128,128,0.0005,30,0.1
128,128,0.0005,30,0.2
128,128,0.0005,30,0.3
128,128,0.0005,30,0.4
128,128,0.0005,30,0.5
128,128,0.0005,50,0.1
128,128,0.0005,50,0.2
128,128,0.0005,50,0.3
128,128,0.0005,50,0.4
128,128,0.0005,50,0.5
128,128,0.0005,70,0.1
128,128,0.0005,70,0.2
128,128,0.0005,70,0.3
128,128,0.0005,70,0.4
128,128,0.0005,70,0.5
128,256,0.0001,30,0.1
128,256,0.0001,30,0.2
128,256,0.0001,30,0.3
128,256,0.0001,30,0.4
128,256,0.0001,30,0.5
128,256,0.0001,50,0.1
128,256,0.0001,50,0.2
128,256,0.0001,50,0.3
128,256,0.0001,50,0.4
128,256,0.0001,50,0.5
128,256,0.0001,70,0.1
128,256,0.0001,70,0.2
128,256,0.0001,70,0.3
128,256,0.0001,70,0.4
128,256,0.0001,70,0.5
128,256,0.0003,30,0.1
128,256,0.0003,30,0.2
128,256,0.0003,30,0.3
128,256,0.0003,30,0.4
128,256,0.0003,30,0.5
128,256,0.0003,50,0.1
128,256,0.0003,50,0.2
128,256,0.0003,50,0.3
128,256,0.0003,50,0.4
128,256,0.0003,50,0.5
128,256,0.0003,70,0.1
128,256,0.0003,70,0.2
128,256,0.0003,70,0.3
128,256,0.0003,70,0.4
128,256,0.0003,70,0.5
128,256,0.0005,30,0.1
128,256,0.0005,30,0.2
128,256,0.0005,30,0.3
128,256,0.0005,30,0.4
128,256,0.0005,30,0.5
128,256,0.0005,50,0.1
128,256,0.0005,50,0.2
128,256,0.0005,50,0.3
128,256,0.0005,50,0.4
128,256,0.0005,50,0.5
128,256,0.0005,70,0.1
128,256,0.0005,70,0.2
128,256,0.0005,70,0.3
128,256,0.0005,70,0.4
128,256,0.0005,70,0.5
256,128,0.0001,30,0.1
256,128,0.0001,30,0.2
256,128,0.0001,30,0.3
256,128,0.0001,30,0.4
256,128,0.0001,30,0.5
256,128,0.0001,50,0.1
256,128,0.0001,50,0.2
256,128,0.0001,50,0.3
256,128,0.0001,50,0.4
256,128,0.0001,50,0.5
256,128,0.0001,70,0.1
256,128,0.0001,70,0.2
256,128,0.0001,70,0.3
256,128,0.0001,70,0.4
256,128,0.0001,70,0.5
256,128,0.0003,30,0.1
256,128,0.0003,30,0.2
256,128,0.0003,30,0.3
256,128,0.0003,30,0.4
256,128,0.0003,30,0.5
256,128,0.0003,50,0.1
256,128,0.0003,50,0.2
256,128,0.0003,50,0.3
256,128,0.0003,50,0.4
256,128,0.0003,50,0.5
256,128,0.0003,70,0.1
256,128,0.0003,70,0.2
256,128,0.0003,70,0.3
256,128,0.0003,70,0.4
256,128,0.0003,70,0.5
256,128,0.0005,30,0.1
256,128,0.0005,30,0.2
256,128,0.0005,30,0.3
256,128,0.0005,30,0.4
256,128,0.0005,30,0.5
