MAE_pos,MAE_rot,RMSE_pos,RMSE_rot,LAT,hidden_dim,epochs,batch_size,dropout,layers
0.10370298258463542,3.4606508841806463,0.1861329823732376,9.37241556472384,0.1,16,1000,1024,0.0,1
0.08048072306315104,4.382281270014921,0.1389683336019516,9.929631188413921,0.1,24,1000,1024,0.0,1
0.21482432047526043,7.389619100471367,0.31201478838920593,11.945738864037388,0.1,8,1000,8192,0.0,1
0.08255012003580729,3.316006128816219,0.12478401511907578,9.385699569369889,0.1,40,1000,2048,0.0,1
0.167543212890625,3.9859346711118526,0.21369150280952454,9.637076604720633,0.1,8,1000,1024,0.0,1
0.16641097005208333,4.605063834165575,0.2152334600687027,10.073615069881512,0.1,48,1000,1024,0.0,1
0.1259096476236979,4.35177736459931,0.2022511214017868,9.987145018337506,0.1,64,1000,1024,0.0,1
0.37886482747395833,9.72515919322628,0.4397825002670288,15.202549134911642,0.1,200,900,64,0.0,1
0.08763287353515625,3.40087047126228,0.15932688117027283,9.390465619547214,0.1,24,1000,8192,0.0,1
0.16569169108072918,5.424178941926026,0.21954913437366486,10.198390191901307,0.1,56,1000,1024,0.0,1
0.1253677978515625,3.546611331063009,0.17551566660404205,9.617108032910703,0.1,16,1000,2048,0.0,1
0.28566255696614584,10.408164626434248,0.38828176259994507,15.742311290954424,0.1,200,100,64,0.0,1
0.053635330200195314,2.76212498101298,0.12164947390556335,9.240015419158844,0.1,56,1000,8192,0.0,1
0.38704109700520833,8.236486565837383,0.49609968066215515,12.427028660829997,0.1,200,100,256,0.0,1
0.14862350463867188,4.631689832735383,0.18787828087806702,9.723613032355885,0.1,8,1000,2048,0.0,1
0.129184814453125,3.8966443310422965,0.18861402571201324,9.735079873828807,0.1,32,1000,1024,0.0,1
0.08827130126953125,3.2949822902632646,0.159575417637825,9.133016912989701,0.1,32,1000,2048,0.0,1
0.09243143717447917,3.4873319366040905,0.14784185588359833,9.538570176699833,0.1,56,1000,2048,0.0,1
0.20229921468098958,6.860748208093883,0.24120716750621796,12.962895782595,0.1,200,900,128,0.0,1
0.07037095133463542,3.087943967858727,0.11721809208393097,9.391744323132743,0.1,24,1000,2048,0.0,1
0.15551495361328124,6.398787009685271,0.21769611537456512,11.038654659561349,0.1,200,300,128,0.0,1
0.0678521219889323,2.7197538922718723,0.13747857511043549,9.166409864591014,0.1,40,1000,8192,0.0,1
0.44197159830729166,9.456535764010713,0.5691360235214233,13.378232899910868,0.1,200,500,64,0.0,1
0.05712755839029948,3.250361134201528,0.12296442687511444,9.23288908851572,0.1,32,1000,8192,0.0,1
0.3855216064453125,8.394951189552987,0.4501366913318634,12.945432435430542,0.1,200,100,128,0.0,1
0.28969620768229165,7.762410981223658,0.3769092559814453,14.161162135062268,0.1,200,700,64,0.0,1
0.04784753926595052,2.5794897131387278,0.1269335150718689,9.197354715392459,0.1,48,1000,8192,0.0,1
0.08051850891113281,4.595786028816376,0.11803913861513138,9.883896918933235,0.1,16,1000,8192,0.0,1
0.2855005493164062,8.45310458652311,0.34245428442955017,13.537842246416147,0.1,200,300,64,0.0,1
0.13538702392578125,3.616974316537726,0.20969362556934357,9.63361727031531,0.1,40,1000,1024,0.0,1
0.04496281941731771,2.4502320311756405,0.11192359030246735,9.072094787519157,0.1,64,1000,8192,0.0,1
0.2930995890299479,10.213116067504329,0.3560069799423218,15.03503913878901,0.1,200,300,256,0.0,1
0.062167922973632814,3.5205235691320182,0.14209920167922974,9.45819667161948,0.1,64,1000,2048,0.0,1
0.20231461588541666,7.3237096038093386,0.2645914852619171,11.608162435336833,0.1,200,500,128,0.0,1
0.24976753743489583,9.306825202698542,0.3083122670650482,13.700814342170217,0.1,400,300,64,0.0,1
0.08782119750976562,2.6851669577544217,0.1256432831287384,9.123879585548512,0.1,200,500,4096,0.0,1
0.24729764811197916,7.822916782023612,0.32441630959510803,13.331727770573012,0.1,400,900,128,0.0,1
0.2852135009765625,6.546307107289891,0.36082932353019714,11.256264989663215,0.1,200,700,128,0.0,1
0.04804683939615886,2.3621513722022627,0.08437023311853409,9.023805562219941,0.1,200,700,8192,0.0,1
0.05582007853190104,2.6183933631674363,0.10028023272752762,9.176580687295885,0.1,200,900,4096,0.0,1
0.10306587727864583,3.7097537263353075,0.1809210479259491,9.762288174885315,0.1,200,900,1024,0.0,1
0.2990893147786458,5.226999450094813,0.3547818958759308,10.187865180760332,0.1,200,100,4096,0.0,1
0.11200973510742188,4.1201752645597995,0.14945314824581146,9.676617203239982,0.1,200,700,2048,0.0,1
0.13303626505533855,3.5604069900429147,0.17283108830451965,9.411965854585596,0.1,200,500,2048,0.0,1
0.1534969991048177,5.221684670989043,0.19487404823303223,10.835938726640697,0.1,200,700,256,0.0,1
0.18903068033854167,6.330107297810312,0.24462005496025085,13.440438468308788,0.1,400,700,128,0.0,1
0.24199064127604167,4.208340726426137,0.29211002588272095,9.535227673253603,0.1,200,100,2048,0.0,1
0.09279844156901042,2.690647565683652,0.12293357402086258,9.102138364093959,0.1,200,700,4096,0.0,1
0.14218355305989583,4.6820826321740645,0.19057944416999817,12.209221002458898,0.1,200,900,512,0.0,1
0.17869476318359376,7.424970625418523,0.2301127016544342,13.920095022613564,0.1,400,500,128,0.0,1
0.08664784749348958,2.4401302197570818,0.12735942006111145,9.042060385099461,0.1,200,300,4096,0.0,1
0.23054618326822918,6.934907930204915,0.282011479139328,11.513055798025267,0.1,400,300,1024,0.0,1
0.11648570760091145,4.461881335440431,0.16454920172691345,9.982893222697125,0.1,400,700,1024,0.0,1
0.29287156168619793,9.210664676309975,0.40273958444595337,15.113450751999377,0.1,400,100,64,0.0,1
0.08145153299967448,4.217521289793506,0.12804922461509705,9.704248529375512,0.1,400,700,2048,0.0,1
0.3714581705729167,7.082152206886476,0.44065988063812256,11.026094676580591,0.1,400,100,128,0.0,1
0.26229561360677084,5.953609753100208,0.3194797933101654,10.660647771599486,0.1,200,100,512,0.0,1
0.12468326822916667,3.0062708435287107,0.16304053366184235,9.23281686727037,0.1,200,300,2048,0.0,1
0.17086423746744792,5.80184404348153,0.2179984599351883,10.78238101972787,0.1,400,700,256,0.0,1
0.23862764485677082,3.9985937324769076,0.2982599437236786,9.441951458840018,0.1,200,300,1024,0.0,1
0.439119140625,6.770586420627176,0.5078403353691101,11.471104690005252,0.1,200,100,8192,0.0,1
0.12098685709635416,5.025902731122766,0.15076808631420135,10.760151464224789,0.1,400,900,512,0.0,1
0.06770826212565104,3.4744570526639813,0.13942666351795197,9.402160666225726,0.1,48,1000,2048,0.0,1
0.16248199462890625,10.202871370214917,0.18996840715408325,14.472309468349692,0.1,400,100,1024,0.0,1
0.2249305419921875,4.083627607724962,0.26658833026885986,9.50052959433352,0.1,400,100,4096,0.0,1
0.1291668701171875,4.428878274324583,0.1946406066417694,9.818174292577398,0.1,200,700,1024,0.0,1
0.15928160603841146,3.4785520148020814,0.1893301010131836,9.244939480870718,0.1,400,100,2048,0.0,1
0.16212571207682291,5.60100616136952,0.21327486634254456,11.97121729797245,0.1,200,700,512,0.0,1
0.09845537312825521,2.8158157710471,0.15354086458683014,9.18070745624531,0.1,200,900,2048,0.0,1
0.05923079427083333,2.4465000432536823,0.10460568964481354,9.059748754439992,0.1,200,500,8192,0.0,1
0.2931399332682292,5.9791503282377505,0.3438168168067932,10.577891104602923,0.1,400,300,512,0.0,1
0.3779164225260417,8.10173512097299,0.4881960451602936,15.458846570558082,0.1,400,500,64,0.0,1
0.1334248250325521,3.463479263478295,0.18189404904842377,9.543965615684284,0.1,400,500,1024,0.0,1
0.42545589192708333,6.4327843249725705,0.5136350989341736,11.01317358381288,0.1,400,100,512,0.0,1
0.24124859619140626,6.405886452444295,0.3066132664680481,11.750140370486166,0.1,200,500,512,0.0,1
0.044690404256184896,2.3842277226308144,0.08397937566041946,9.092771846394193,0.1,200,900,8192,0.0,1
0.08542777506510417,3.223228779052075,0.11389785259962082,9.341497230200362,0.1,400,500,4096,0.0,1
0.07734236653645833,2.7436524962421043,0.09985686093568802,9.136677367603262,0.1,400,300,4096,0.0,1
0.1314480692545573,5.369872408771957,0.1664472222328186,12.213447423989356,0.1,400,900,256,0.0,1
0.3402820841471354,6.964801800211291,0.42214125394821167,11.362732720799398,0.1,200,100,1024,0.0,1
0.04850299580891927,2.291443151316432,0.07328905165195465,9.034022848279859,0.1,400,900,8192,0.0,1
0.23605265299479167,9.407475457090234,0.29130885004997253,17.099886578322625,0.1,600,700,64,0.0,1
0.21311942545572918,10.139592149094709,0.2615886330604553,15.647557739932186,0.1,400,300,128,0.0,1
0.35948856608072915,9.224595233318743,0.4778638184070587,13.498425278017042,0.1,600,300,64,0.0,1
0.1357295633951823,4.191933200861708,0.20105373859405518,9.757298686547855,0.1,400,900,2048,0.0,1
0.060506139119466146,2.7555264351408777,0.09885502606630325,9.059926051493175,0.1,400,300,8192,0.0,1
0.07377875264485677,3.872476010707884,0.10715299099683762,9.503664203098802,0.1,400,300,2048,0.0,1
0.12946604410807291,2.971677546076334,0.1700865924358368,9.329700270625251,0.1,400,900,1024,0.0,1
0.11452982584635417,4.0505651895543435,0.16419506072998047,10.603600669652883,0.1,400,500,512,0.0,1
0.230834716796875,5.458571657167247,0.2899988293647766,10.336122013142027,0.1,200,300,512,0.0,1
0.10054037475585938,3.5901203811682123,0.15006308257579803,9.4005870696614,0.1,400,700,512,0.0,1
0.0947242431640625,3.393945078687455,0.1371505707502365,9.33590129304048,0.1,400,500,2048,0.0,1
0.17050410970052082,5.53818390011168,0.24008171260356903,11.033718603729874,0.1,200,900,256,0.0,1
0.5218824869791666,11.369539658213116,0.7409946918487549,15.201979933064043,0.1,600,500,64,0.0,1
0.245893798828125,8.505940787618506,0.28868919610977173,12.76053515606809,0.1,600,900,64,0.0,1
0.1526688435872396,8.33965627695512,0.19418354332447052,14.685597224872772,0.1,200,500,256,0.0,1
0.11069105021158854,3.496047371331885,0.17111416161060333,9.32592131607158,0.1,200,300,8192,0.0,1
0.35637882486979167,9.46969376728477,0.45359688997268677,13.791068818645464,0.1,600,100,128,0.0,1
0.25623494466145835,6.697029398419433,0.32958510518074036,13.333254984677358,0.1,600,500,128,0.0,1
0.20298909505208335,4.3612614081405505,0.2473914474248886,9.658439308341803,0.1,600,300,512,0.0,1
0.16233812459309896,6.135327897613918,0.2280484288930893,11.460916902975468,0.1,600,900,256,0.0,1
0.1553049519856771,5.467930409056776,0.19791357219219208,11.566937329125098,0.1,600,700,256,0.0,1
0.3130974934895833,12.466273376392824,0.388835072517395,17.941758941480206,0.1,600,100,64,0.0,1
0.08810648600260416,3.503153017099612,0.13551925122737885,9.72383247803344,0.1,600,700,1024,0.0,1
